YEAR,STATE/REGION,GDP_EXP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2011,NC,27067046870,North Carolina,..0,All industry total,1,430040100000.0,9658913,9658913
2011,ND,3392765415,North Dakota,..0,All industry total,1,41602100000.0,685526,685526
2011,NE,7587579923,Nebraska,..0,All industry total,1,100526500000.0,1840914,1840914
2011,NH,4306552050,New Hampshire,..0,All industry total,1,66557300000.0,1320444,1320444
2011,NJ,38172316758,New Jersey,..0,All industry total,1,494292800000.0,8828552,8828552
2011,NM,2095859917,New Mexico,..0,All industry total,1,87056000000.0,2080707,2080707
2011,NV,7989585602,Nevada,..0,All industry total,1,128638400000.0,2713114,2713114
2011,NY,84999347161,New York,..0,All industry total,1,1245769400000.0,19499921,19499921
2011,OH,46457638989,Ohio,..0,All industry total,1,525456400000.0,11545735,11545735
2011,OK,6227675655,Oklahoma,..0,All industry total,1,167207900000.0,3788824,3788824
2011,OR,18316969121,Oregon,..0,All industry total,1,169693800000.0,3872672,3872672
2011,PA,41103128737,Pennsylvania,..0,All industry total,1,623767900000.0,12747052,12747052
2011,RI,2288561451,Rhode Island,..0,All industry total,1,50123700000.0,1053829,1053829
2011,SC,24732577525,South Carolina,..0,All industry total,1,172844700000.0,4672655,4672655
2011,SD,1461508120,South Dakota,..0,All industry total,1,42082700000.0,823740,823740
2011,TN,30016116443,Tennessee,..0,All industry total,1,270055000000.0,6400298,6400298
2011,TX,251104278477,Texas,..0,All industry total,1,1351776900000.0,25645504,25645504
2011,UT,18968255935,Utah,..0,All industry total,1,125137800000.0,2814797,2814797
2011,VA,18124713206,Virginia,..0,All industry total,1,433683700000.0,8102437,8102437
2011,VT,4274554194,Vermont,..0,All industry total,1,28558500000.0,627197,627197
2011,WA,64800272158,Washington,..0,All industry total,1,377518800000.0,6827479,6827479
2011,WI,22068884434,Wisconsin,..0,All industry total,1,265444000000.0,5705840,5705840
2011,WV,9039171951,West Virginia,..0,All industry total,1,69367600000.0,1856606,1856606
2011,WY,1218714268,Wyoming,..0,All industry total,1,39615100000.0,567491,567491
2012,AK,4543424891,Alaska,..0,All industry total,1,58320700000.0,730810,730810
2012,AL,19576975820,Alabama,..0,All industry total,1,188280700000.0,4816632,4816632
2012,AR,7615199432,Arkansas,..0,All industry total,1,108836000000.0,2952876,2952876
2012,AZ,18404658712,Arizona,..0,All industry total,1,272703300000.0,6556344,6556344
2012,CA,161757310648,California,..0,All industry total,1,2108873100000.0,37944551,37944551
2012,CO,8170084468,Colorado,..0,All industry total,1,274738800000.0,5193660,5193660
2012,CT,15871128934,Connecticut,..0,All industry total,1,239907500000.0,3595211,3595211
2012,DE,5113816930,Delaware,..0,All industry total,1,62342100000.0,915518,915518
2012,FL,66222522916,Florida,..0,All industry total,1,784545900000.0,19302016,19302016
2012,GA,36038507034,Georgia,..0,All industry total,1,449375600000.0,9903580,9903580
2012,HI,731679354,Hawaii,..0,All industry total,1,71645600000.0,1395199,1395199
2012,IA,14622238610,Iowa,..0,All industry total,1,158553100000.0,3076844,3076844
2012,ID,6119917408,Idaho,..0,All industry total,1,57933700000.0,1595910,1595910
2012,IL,68157880309,Illinois,..0,All industry total,1,725478000000.0,12883029,12883029
2012,IN,34398866943,Indiana,..0,All industry total,1,301277400000.0,6538989,6538989
