STATE/REGION,EXPORT_VAL,EXP_NAICS,EXP_NAICS_DESC,YEAR,EXP_LEVEL,GDP_CODE
AL,177393450,3329,OTHER FABRICATED METAL PRODUCTS,2013,4,332
AL,45399653,3352,"HOUSEHOLD APPLIANCES AND MISCELLANEOUS MACHINES, NESOI",2013,4,335
AL,49178322,3353,ELECTRICAL EQUIPMENT,2013,4,335
AL,39301418,314,TEXTILE MILL PRODUCTS,2013,3,313-314
AL,4932978,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",2013,3,323
AL,556235,3274,LIME AND GYPSUM PRODUCTS,2013,4,327
AL,863592188,333,"MACHINERY, EXCEPT ELECTRICAL",2013,3,333
AL,128965162,3359,"ELECTRICAL EQUIPMENT AND COMPONENTS, NESOI",2013,4,335
AL,49038,1114,"MUSHROOMS, NURSERY AND RELATED PRODUCTS",2013,4,111-112
AL,568140352,311,FOOD AND KINDRED PRODUCTS,2013,3,311-312
AL,40431,211,OIL AND GAS,2013,3,211
AL,40431,2111,OIL AND GAS,2013,4,211
AL,1383617394,212,MINERALS AND ORES,2013,3,212
AL,243374963,11,AGRICULTURE AND LIVESTOCK PRODUCTS,2013,2,11
AL,1356063598,2121,COAL AND PETROLEUM GASES,2013,4,212
AL,21993982,2122,METAL ORES,2013,4,212
AL,119540237,111,AGRICULTURAL PRODUCTS,2013,3,111-112
AL,5559814,2123,NONMETALLIC MINERALS,2013,4,212
AL,55727113,1111,OILSEEDS AND GRAINS,2013,4,111-112
AL,881959132,31,"MANUFACTURING, PART1",2013,2,31-33
AL,437604,1112,VEGETABLES AND MELONS,2013,4,111-112
AL,6785262,1113,FRUITS AND TREE NUTS,2013,4,111-112
AL,17395852532,31-33,MANUFACTURED GOODS,2013,2,31-33
AR,175421927,1119,OTHER AGRICULTURAL PRODUCTS,2013,4,111-112
AR,97599760,112,LIVESTOCK AND LIVESTOCK PRODUCTS,2013,3,111-112
AR,7706784,3111,ANIMAL FOODS,2013,4,311-312
AR,30619,1121,CATTLE,2013,4,111-112
AR,428281276,3116,MEAT PRODUCTS AND MEAT PACKAGING PRODUCTS,2013,4,311-312
AR,93420313,1123,POULTRY AND EGGS,2013,4,111-112
AR,270136378,3112,GRAIN AND OILSEED MILLING PRODUCTS,2013,4,311-312
AR,1719384,3113,SUGAR AND CONFECTIONERY PRODUCTS,2013,4,311-312
AR,3551598,1125,FARMED FISH AND RELATED PRODUCTS,2013,4,111-112
AR,597230,1129,OTHER ANIMALS,2013,4,111-112
AR,4750387,3114,FRUIT AND VEGETABLE PRESERVES AND SPECIALTY FOODS,2013,4,311-312
AR,1053450,113,"FORESTRY PRODUCTS, NESOI",2013,3,113-115
AR,5091413,3115,DAIRY PRODUCTS,2013,4,311-312
AR,90640,1132,FORESTRY PRODUCTS,2013,4,113-115
AR,7160838005,-,TOTAL FOR ALL NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (NAICS) CODES,2013,1,..0
