YEAR,STATE/REGION,GDP_IMP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2011,CT,24028255902,Connecticut,..0,All industry total,1,233058700000.0,3588632,3588632
2011,DE,12167199204,Delaware,..0,All industry total,1,61379400000.0,907590,907590
2011,FL,65339869231,Florida,..0,All industry total,1,761043100000.0,19055607,19055607
2011,GA,67276958853,Georgia,..0,All industry total,1,433137100000.0,9803630,9803630
2011,HI,5974027318,Hawaii,..0,All industry total,1,68801100000.0,1379562,1379562
2011,IA,8240761230,Iowa,..0,All industry total,1,149026100000.0,3066772,3066772
2011,ID,4859971682,Idaho,..0,All industry total,1,57418200000.0,1584272,1584272
2011,IL,122056611744,Illinois,..0,All industry total,1,691805500000.0,12867783,12867783
2011,IN,39519425612,Indiana,..0,All industry total,1,292373800000.0,6517250,6517250
2011,KS,9786202310,Kansas,..0,All industry total,1,136747100000.0,2869677,2869677
2011,KY,31969824313,Kentucky,..0,All industry total,1,171238100000.0,4370817,4370817
2011,LA,82651758885,Louisiana,..0,All industry total,1,230518700000.0,4576244,4576244
2011,MA,33367003099,Massachusetts,..0,All industry total,1,423684900000.0,6614218,6614218
2011,MD,23951836638,Maryland,..0,All industry total,1,324920900000.0,5840241,5840241
2011,ME,4449753735,Maine,..0,All industry total,1,53104500000.0,1328473,1328473
2011,MI,104279575237,Michigan,..0,All industry total,1,408354100000.0,9883053,9883053
2011,MN,33125201612,Minnesota,..0,All industry total,1,287070800000.0,5346620,5346620
2011,MO,15698844241,Missouri,..0,All industry total,1,263330000000.0,6011182,6011182
2011,MS,20469540365,Mississippi,..0,All industry total,1,96799100000.0,2979147,2979147
2011,MT,5615202766,Montana,..0,All industry total,1,40592300000.0,997518,997518
2011,NC,47868210608,North Carolina,..0,All industry total,1,430040100000.0,9658913,9658913
2011,ND,3472784061,North Dakota,..0,All industry total,1,41602100000.0,685526,685526
2011,NE,3414869609,Nebraska,..0,All industry total,1,100526500000.0,1840914,1840914
2011,NH,11681904299,New Hampshire,..0,All industry total,1,66557300000.0,1320444,1320444
2011,NJ,125476341308,New Jersey,..0,All industry total,1,494292800000.0,8828552,8828552
2011,NM,2530897039,New Mexico,..0,All industry total,1,87056000000.0,2080707,2080707
2011,NV,7450671740,Nevada,..0,All industry total,1,128638400000.0,2713114,2713114
2011,NY,127252335095,New York,..0,All industry total,1,1245769400000.0,19499921,19499921
2011,OH,59782782547,Ohio,..0,All industry total,1,525456400000.0,11545735,11545735
2011,OK,11325013173,Oklahoma,..0,All industry total,1,167207900000.0,3788824,3788824
2011,OR,16464403081,Oregon,..0,All industry total,1,169693800000.0,3872672,3872672
2011,PA,89444597515,Pennsylvania,..0,All industry total,1,623767900000.0,12747052,12747052
2011,RI,8579471206,Rhode Island,..0,All industry total,1,50123700000.0,1053829,1053829
